Word,Meaning
hammer,"망치, 망치로 두드리다"
cloth,"천, 헝겊"
calendar,달력
heat,"열, 뜨겁게 하다"
till,~까지
lip,입술
medium,"중간, 중간의"
wrap,"싸다, 포장하다"
well-done,(고기가)잘 구워진
truly,"진실로, 참으로"
Asia,아시아
danger,위험
earn,"벌다, 일해서 얻다"
marathon,"마라톤, 장거리 경주"
express,"표현하다, 급행의"
population,인구
pleasure,"즐거움, 유쾌"
unfortunately,불행하게도
effect,"효과, 결과, 영향"
equal,"같은, ~와 같다"
wolf,늑대
fault,"결점, 잘못"
waiter,시중드는 사람
smooth,매끄러운
kick,"차다, 차기"
branch,"가지, 지점"
operator,"지사, 교환수"
local,지방의
according,~에 의하면
army,"육군, 군대"
bow,"절하다, 인사"
businessman,"사업가, 실업가"
festival,"축제, 축제의"
forever,영원히
main,주요한
poem,시(詩)
kid,"아이, 새끼 염소"
distance,"거리, 먼 곳"
prison,감옥
safety,안전
community,"공동체, 지역 사회"
charge,"청구하다, 책임"
flame,불꽃
Europe,유럽
Roman,"로마의, 로마인"
scene,"장면, 광경, 현장"
absent,"결석한, 부재의"
Japanese,"일본의, 일본인의"
coast,"해안, 연안"
fog,안개
rough,"거친, 대략"
enter,"들어가다, 입학하다"
guide,"안내하다, 안내자"
fry,기름에 튀기다
handkerchief,손수건
skin,"피부, 가죽"
stream,"흐름, 시내, 개울"
track,"지나간 자국, 철도"
Japan,일본
jewel,보석
Olympic,올림픽의
attract,"끌다, 끌어당기다"
schedule,"시간표, ~을 예정하다"
unusual,"비범한, 별난"
human,"인간의, 인간적인"
knee,무릎
French,"프랑스의, 프랑스어"
manager,"지배인, 경영자"
wagon,짐마차
Pacific,"태평양의, (the~)태평양"
shoot,사격하다
national,"국민의, 국가의"
allow,허락하다
collect,"모으다, 수집하다"
fix,"고정시키다, 수리하다"
brave,용감한
dive,"뛰어들다, 잠수하다"
barn,"헛간, 곡식 창고"
classical,"고전의, 고전적인"
examine,"조사하다, 시험하다"
perfect,완전한
address,"주소, 연설"
necessary,필요한
nest,"보금자리, 둥지"
expression,"표현, 표정"
scientific,"과학의, 과학적인"
attention,"주의, 주목"
nor,~도 또한...않다
hardly,거의~않다
plant,행성
pride,"자존심, 자랑거리"
hate,"미워하다, 싫어하다"
nearby,"가까운, 가까이에"
pleasant,"즐거운, 유쾌한"
starve,굶어 죽다
nature,"자연, 성질"
movement,"움직임, 운동, 활동"
signal,"신호, 신호하다"
cinema,"영화, 영화관"
mild,"온화한, 상냥한"
search,"찾다, 수색하다"
experiment,"실험, 실험하다"
silent,"침묵의, 조용한"
part-time,파트타임의
hobby,취미
devote,바치다
fail,실패하다
pop,대중적인
block,"덩어리, 블록"
nurse,간호사
sight,"광경, 경치, 시력"
garage,차고
female,"여성의, 암컷의"
stomach,위(胃)
exchange,"교환하다, 교환"
equipment,"장비, 설비"
magic,"마법, 요술, 마법의"
